MsgID.STATE,0.0000000,False,False
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974533,37.7931420,0.0120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.0520000,73.5658264,-0.3010566,-0.0123202
MsgID.LOCAL_VELOCITY,36.0520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974537,37.7931430,0.0420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.3020000,73.6768036,-0.3320399,-0.0421087
MsgID.LOCAL_VELOCITY,36.3020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974536,37.7931438,0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.5520000,73.7624054,-0.3286335,-0.0707100
MsgID.LOCAL_VELOCITY,36.5520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974555,37.7931441,0.1040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.8030000,73.7901917,-0.4930099,-0.1043990
MsgID.LOCAL_VELOCITY,36.8030000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974550,37.7931449,0.1270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.0530000,73.8887329,-0.4509450,-0.1276047
MsgID.LOCAL_VELOCITY,37.0530000,-0.0000425,-0.0000070,0.0000480
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7931451,0.1680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.3040000,73.8550262,-0.0522716,-0.1681961
MsgID.LOCAL_VELOCITY,37.3040000,-0.0000262,-0.0000187,0.0000177
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7931440,0.2010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.5540000,73.7328644,-0.0491383,-0.2017613
MsgID.LOCAL_VELOCITY,37.5540000,-0.0000310,-0.0000009,0.0000213
MsgID.GLOBAL_POSITION,0.0000000,-122.3974531,37.7931426,0.2190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.8040000,73.5779190,0.0128003,-0.2190565
MsgID.LOCAL_VELOCITY,37.8040000,-0.0000280,-0.0000026,0.0000135
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7931434,0.2340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.0550000,73.6668701,0.1370587,-0.2340102
MsgID.LOCAL_VELOCITY,38.0550000,-0.0000219,0.0000038,0.0000149
MsgID.GLOBAL_POSITION,0.0000000,-122.3974525,37.7931437,0.2320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.3060000,73.7004089,0.0653034,-0.2323875
MsgID.LOCAL_VELOCITY,38.3060000,-0.0000172,0.0000057,0.0000214
MsgID.GLOBAL_POSITION,0.0000000,-122.3974539,37.7931441,0.2170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.5620000,73.7455444,-0.0542254,-0.2179281
MsgID.LOCAL_VELOCITY,38.5620000,-0.0000310,0.0000018,0.0000101
MsgID.GLOBAL_POSITION,0.0000000,-122.3974553,37.7931439,0.1920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.8120000,73.7161942,-0.1795638,-0.1921654
MsgID.LOCAL_VELOCITY,38.8120000,-0.0000214,0.0000043,0.0000143
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974560,37.7931428,0.1610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,39.0630000,73.6021652,-0.2408104,-0.1614642
MsgID.LOCAL_VELOCITY,39.0630000,-0.0000265,0.0000061,0.0000184
MsgID.GLOBAL_POSITION,0.0000000,-122.3974548,37.7931425,0.1330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,39.3130000,73.5666351,-0.1379270,-0.1335672
MsgID.LOCAL_VELOCITY,39.3130000,-0.0000235,-0.0000036,0.0000141
MsgID.GLOBAL_POSITION,0.0000000,-122.3974539,37.7931439,0.1100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,39.5630000,73.7200928,-0.0532780,-0.1107144
MsgID.LOCAL_VELOCITY,39.5630000,-0.0000298,0.0000092,0.0000175
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7931438,0.0970000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,39.8140000,73.7077179,-0.0522463,-0.0977539
MsgID.LOCAL_VELOCITY,39.8140000,-0.0000317,-0.0000003,0.0000193
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974529,37.7931437,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,40.0640000,73.6979218,0.0355556,-0.0961933
MsgID.LOCAL_VELOCITY,40.0640000,-0.0000194,-0.0000066,0.0000141
MsgID.GLOBAL_POSITION,0.0000000,-122.3974524,37.7931435,0.1010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,40.3150000,73.6732941,0.0767328,-0.1010642
